title,department,center,teacher,start_date,end_date,min_cost,max_cost,days,course_link
دوره جامع نرم افزار Arc GIS,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۹۹,۰۰۰,۰۰۰","۹۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5348/دوره-جامع-نرم-افزار-Arc-GIS
آئین نگارش مکاتبات اداری,مدیریت و کسب و کار,بلوار کاوه(قیطریه),محمدرضا ایزدی,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۲۰,۹۰۰,۰۰۰","۲۶,۴۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/4386/آئین-نگارش-مکاتبات-اداری
CCNA 200-301,فناوری اطلاعات و ارتباطات,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۵ تیر ۱۴۰۵,"۶۴,۰۰۰,۰۰۰","۷۸,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/3742/CCNA-200-301
شینیون و استایل مو,دانش سلامت,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۴ فروردین ۱۴۰۵,"۱۰۴,۰۰۰,۰۰۰","۱۰۴,۰۰۰,۰۰۰",جمعه ساعت ۱۰:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/5706/شینیون-و-استایل-مو
مقدمه ای بر الگوریتم و برنامه نویسی,فناوری اطلاعات و ارتباطات,زعفرانیه,پدرام راستگو,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۹ خرداد ۱۴۰۵,"۲۸,۰۰۰,۰۰۰","۳۳,۰۰۰,۰۰۰",جمعه ساعت ۱۷:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/132017130/مقدمه-ای-بر-الگوریتم-و-برنامه-نویسی
دوره مبانی و مقدمات رمزارزها (ارز دیجیتال),علوم مالی و حسابداری,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۷۳,۰۰۰,۰۰۰","۷۳,۰۰۰,۰۰۰",جمعه ساعت ۱۰:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4996/دوره-مبانی-و-مقدمات-رمزارزها-(ارز-دیجیتال)
آئین نگارش مکاتبات اداری,مدیریت و کسب و کار,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۲۶,۴۰۰,۰۰۰","۲۶,۴۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4386/آئین-نگارش-مکاتبات-اداری
رفتار سازمانی,مدیریت و کسب و کار,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۴۳,۰۰۰,۰۰۰","۴۳,۰۰۰,۰۰۰",جمعه ساعت ۱۰:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4945/رفتار-سازمانی
مدیریت تبلیغات,مدیریت و کسب و کار,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۴۰,۸۰۰,۰۰۰","۴۶,۹۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۸:۳۰,https://mftplus.com/lesson/4929/مدیریت-تبلیغات
مدیریت برند,مدیریت و کسب و کار,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۴ فروردین ۱۴۰۵,"۴۴,۰۰۰,۰۰۰","۵۲,۹۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۸:۳۰,https://mftplus.com/lesson/4928/مدیریت-برند
بینایی ماشین و پردازش تصویر,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),فاطمه رفیع پور,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۹۱,۰۰۰,۰۰۰","۱۱۴,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5275/بینایی-ماشین-و-پردازش-تصویر
مراقبت و زیبایی دست و ناخن,دانش سلامت,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۷۲,۸۰۰,۰۰۰","۷۲,۸۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4960/مراقبت-و-زیبایی-دست-و-ناخن
نقشه برداری زمینی با دوربین توتال استیشن,علوم مهندسی,سعادت آباد (مرکزی),حامد صابری,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۸۹,۰۰۰,۰۰۰","۸۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/153412126/نقشه-برداری-زمینی-با-دوربین-توتال-استیشن
طراحی مکانیکی به کمک SOLIDWORKS I  به همراه کار عملی با دستگاه پرینتر سه بعدی,علوم مهندسی,سعادت آباد (مرکزی),علی نوری اسفندیاری,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/153718135/طراحی-مکانیکی-به-کمک-SOLIDWORKS-I-به-همراه-کار-عملی-با-دستگاه-پرینتر-سه-بعدی
دوره طراحی رابط و تجربه کاربری (UI/UX),فناوری اطلاعات و ارتباطات,پارک ساعی,آیدین مدرس اول,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۵۵,۰۰۰,۰۰۰","۶۸,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5605/دوره-طراحی-رابط-و-تجربه-کاربری-(UI/UX)
CEH v.12 (Certified Ethical Hacker),فناوری اطلاعات و ارتباطات,پارک ساعی,امیر حسین مرادخانی,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۵۴,۰۰۰,۰۰۰","۶۸,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/5173/CEH-v.12-(Certified-Ethical-Hacker)
طراحی وب سایت (Web Design Pack),فناوری اطلاعات و ارتباطات,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۹ آبان ۱۴۰۵,"۱۸۷,۰۰۰,۰۰۰","۱۸۷,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/6459/طراحی-وب-سایت-(Web-Design-Pack)
(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۵۶,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I
اصول علمی و عملی  فروش تلفنی,مدیریت و کسب و کار,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱ اسفند ۱۴۰۴,"۱۹,۰۰۰,۰۰۰","۲۰,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۶:۰۰,https://mftplus.com/lesson/6267/اصول-علمی-و-عملی-فروش-تلفنی
Programming with Python,فناوری اطلاعات و ارتباطات,زعفرانیه,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۵ تیر ۱۴۰۵,"۷۰,۰۰۰,۰۰۰","۸۸,۰۰۰,۰۰۰",جمعه ساعت ۱۳:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/5679/Programming-with-Python
کمک های اولیه و فوریت های پزشکی,دانش سلامت,سعادت آباد (مرکزی),دکترسمیرا آبادی,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۴۵,۵۰۰,۰۰۰","۴۵,۵۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/341612128/کمک-های-اولیه-و-فوریت-های-پزشکی
مدیریت راهبردی کسب و کار (DBA),مدیریت و کسب و کار,البرز,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۹ آبان ۱۴۰۵,"۵۹۲,۹۰۰,۰۰۰","۵۹۲,۹۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۳:۰۰ | پنجشنبه ساعت ۱۵:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/4911/مدیریت-راهبردی-کسب-و-کار-(DBA)
دوره جامع نقشه خوانی ساختمان,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5613/دوره-جامع-نقشه-خوانی-ساختمان
اصول سرپرستی,مدیریت و کسب و کار,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۲۶,۴۰۰,۰۰۰","۳۳,۰۰۰,۰۰۰",جمعه ساعت ۱۷:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/4385/اصول-سرپرستی
